id,reviewer,rating,text
ChZDSUhNMG9nS0VJQ0FnSUNxa05QY1R3EAE,Car Broom,5,"얼마전 친구들과 다녀왔습니다.  리뷰 주제 꼬라지가 왜 이런가 했더니 무슨일이 있었나봅니다.  실제로 방문은 해보고, 실제로 음료는 마셔보고 쓴 리뷰들인지 의심되는 리뷰들이 한 둘이 아닌데...  좋지 않은 일에 엮이셨던것 같은데 사장님 화이팅입니다!"
,Car Broom,,
,,5,"얼마전 친구들과 다녀왔습니다.  리뷰 주제 꼬라지가 왜 이런가 했더니 무슨일이 있었나봅니다.  실제로 방문은 해보고, 실제로 음료는 마셔보고 쓴 리뷰들인지 의심되는 리뷰들이 한 둘이 아닌데...  좋지 않은 일에 엮이셨던것 같은데 사장님 화이팅입니다!"
ChdDSUhNMG9nS0VJQ0FnSURLbHNUWmpRRRAB,ᄋᄋ,5,예전에 친구 만나러 갔다 들렸었던 사람입니다. 갑자기 별점 테러 받고 있길래 늦게나마 리뷰 씁니다. 분위기 있고 커피도 맛있었습니다. 어이없는 상황에 당황하셨을 것 같은데 사장님 힘내세요
,ᄋᄋ,,
,,5,예전에 친구 만나러 갔다 들렸었던 사람입니다. 갑자기 별점 테러 받고 있길래 늦게나마 리뷰 씁니다. 분위기 있고 커피도 맛있었습니다. 어이없는 상황에 당황하셨을 것 같은데 사장님 힘내세요
ChZDSUhNMG9nS0VJQ0FnSUNLc2VUYmVREAE,紺野栞,5,사장님 혹시 배달 가능하십니까? 구파발역 인근 사는 사람인데 배달 가능하시면 많이 팔아드리고 싶습니다. 서비스업의 의미도 이해 못한 채 자신의 사상을 무차별적으로 강요하는 사람을 알바로 쓰지 않겠다는 데 동의합니다.
,紺野栞,,
,,5,사장님 혹시 배달 가능하십니까? 구파발역 인근 사는 사람인데 배달 가능하시면 많이 팔아드리고 싶습니다. 서비스업의 의미도 이해 못한 채 자신의 사상을 무차별적으로 강요하는 사람을 알바로 쓰지 않겠다는 데 동의합니다.
ChdDSUhNMG9nS0VJQ0FnSUNLb0tMYTBnRRAB,나츠메씨,5,저번에 서울 갔을때 친구랑 자전거로 마실 나갔다 들렀는데 내린 커피 너무 좋았어요.  이상한 신념에 경도되어 좌표찍고 별점 테러 하시는 분들 정신 차리셨으면 좋겠습니다.  비록 코로나로 힘든 나날이지만 화창한 봄에 왜 멀쩡한 카페에 별점 테러 하시는지 이해를 못하겠네요
,나츠메씨,,
,,5,저번에 서울 갔을때 친구랑 자전거로 마실 나갔다 들렀는데 내린 커피 너무 좋았어요.  이상한 신념에 경도되어 좌표찍고 별점 테러 하시는 분들 정신 차리셨으면 좋겠습니다.  비록 코로나로 힘든 나날이지만 화창한 봄에 왜 멀쩡한 카페에 별점 테러 하시는지 이해를 못하겠네요
ChZDSUhNMG9nS0VJQ0FnSUNLb0lDV0VBEAE,김재윤,5,"지극히 정상적이고 객관적, 합리적인 선택을 잘하는 매장으로 보입니다. 카페 관리 잘하시는 것이 킁킁 냄새 맡지 않아도 느껴지네요. 별점 테러 하시는 분들은 좀스럽고 민망합니다. -한남 호소인-"
,김재윤,,
,,5,"지극히 정상적이고 객관적, 합리적인 선택을 잘하는 매장으로 보입니다. 카페 관리 잘하시는 것이 킁킁 냄새 맡지 않아도 느껴지네요. 별점 테러 하시는 분들은 좀스럽고 민망합니다. -한남 호소인-"
ChZDSUhNMG9nS0VJQ0FnSUNLOV9yVFh3EAE,MINWOO SIM,5,서비스업하는데 얼굴이 1순위 아니냐? ㅋㅋㅋ 페미들 역시 지능이 박살났나보다 ㅋㅋ 그리고 리뷰쓸때 페미라고 말해라 일반인인척 먼지들어가있네 이런 개소리하면서 일반인들도 속게 만들지 말고 ㅋㅋ 그리고 사장이 잘못했으면 사장이 잘못한 것을 가지고 욕을 해야지 왜 괜히 먼지들어가있네 맛없네 이딴 소리하면서 매출깎으려고함? ㅋㅋㅋ 사장이 잘못한건 없지만 ㅎㅎ
,MINWOO SIM,,
,,5,서비스업하는데 얼굴이 1순위 아니냐? ㅋㅋㅋ 페미들 역시 지능이 박살났나보다 ㅋㅋ 그리고 리뷰쓸때 페미라고 말해라 일반인인척 먼지들어가있네 이런 개소리하면서 일반인들도 속게 만들지 말고 ㅋㅋ 그리고 사장이 잘못했으면 사장이 잘못한 것을 가지고 욕을 해야지 왜 괜히 먼지들어가있네 맛없네 이딴 소리하면서 매출깎으려고함? ㅋㅋㅋ 사장이 잘못한건 없지만 ㅎㅎ
ChdDSUhNMG9nS0VJQ0FnSUNLd05hSTB3RRAB,ax w,5,맛이었습니다.  무척 친절하셨구요. 사장님 화이팅! 거짓리뷰로 영업을 방해하는 망가진 인간들에게 인생은 실전임을 가르쳐주세요.
,ax w,,
,,5,맛이었습니다.  무척 친절하셨구요. 사장님 화이팅! 거짓리뷰로 영업을 방해하는 망가진 인간들에게 인생은 실전임을 가르쳐주세요.
ChdDSUhNMG9nS0VJQ0FnSUNLd09Qdnh3RRAB,HM SON,5,페미라서 잘린거 맞지요.. 그 분 뽑았으면 가게 사장 + 가게에 내점하는 남자손님들은 죄다 한남이니 예비 범죄자로 볼텐데... 정상적으로 일을 할 수 없는 사람을 거른건데 왜 비난들을 하시는지?? ^^
,HM SON,,
